,Title,Abstract,Owner,field,Key word,country,State,City,link of page
1,خشک شدن سریع، افزایش مقاومت به سایش و ماندگاری رنگ چاپ شده روی کیسه های پلی پروپیلن,خشک شدن سریع رنگ بر روی کیسه و افزایش چسبندگی و مقاومت به خراش این رنگ ها,پژوهشگران فناوریهای پیشرفته آسیا,"علوم پایه, مهندسی محیط زیست",,ایران,اصفهان,,https://nan.ac/ViewNeed/AF159FCAAA904963F36E6C9711AA6B11
2,امکان سنجی، توسعه و بومی سازی روش های اندازه گیری بارش و دبی با استفاده از تکنیک های مبتنی بر پردازش تصویر,سیلاب هر ساله خسارات زیادی به بخشهای مختلف استان وارد میکند و لذا تعیین و شناسایی مناطق سیلگیر با روشهای سریع و دقیق میتواند در مدیریت هرچه بهتر سیلاب و اجرای طرحهای کنترل سیلاب موثر واقع شود,شرکت سهامی آب منطقه ای قزوین,,['امکان سنجی-توسعه-بومی سازی-اندازه گیری-بارش و دبی-پردازش  تصویر'],ایران,قزوین,قزوین,https://nan.ac/ViewNeed/A0B2F6EC69775DE843749979D068D23D
3,طراحی و ساخت سمپاش هایی با قدرت تشخیص علف هرز از گیاه زراعی,بهترین روش برای حفاظت از مزارع کشاورزی، پیشگیری از حضور حشرات موذی با سمپاشی درست و به موقع می باشد. وجود سمپاش هایی با قدرت تشخیص علف هرز از گیاهان زراعی می تواند علاوه بر کاهش هزینه های کشاورزی از آلودگی محیط هم جلوگیری کرده و در مصرف آب تاثیر بسزایی داشته باشد.,پارک علم و فناوری همدان,,['سمپاش هوشمند، علف هرز، گیاه زراعی'],ایران,همدان,همدان,https://nan.ac/ViewNeed/985034DAC2683BA0C422832B40A271E5
4,کاهش میزان افت در فرایند تولید،توزیع، انبار  و کشتارگاه سالیذ.,کاهش میزان افت در فرایند تولید،توزیع، انبار  و کشتارگاه سالیذ.,پارک علم و فناوری فارس,"دامپزشکی, فنی و مهندسی, کشاورزی و منابع طبیعی",['کاهش افت تولید توزیع انبار  کشتارگاه سالیذ'],ایران,فارس,شیراز,https://nan.ac/ViewNeed/997C982AF525D5F3980D47C52C21A15A
5,اکسترودر دوماردونه با قابلیت تخمیر و پخت همزمان خمیر,در حال حاضر نمونه دستگاه اکسترودر دو ماردون جهت تولید پودر سوخاری در ایران تولید نمی شود و کشور چین این دستگاه را تولید می کند اما به دلیل قیمت بالا و عدم خدمات پس از فروش مشکل تامین این دستگاه وجود دارد نیاز شرکت فناور جهت بومی سازی دستگاه اکسترودر دو ماردونه با قابلیت تخمیر و پخت همزمان خمیر جهت تولید پودر سوخاری در داخل کشور است که کیفیت آن مشابه نمونه های خارجی باشد.,,"کشاورزی و منابع طبیعی, علوم بهداشت",,ایران,قم,,https://nan.ac/ViewNeed/64317CAC21FF7F75E61BDD28F96DF4F2
6,ساخت دستگاه اندازه‌گيري نرخ واكنش سيال اسيدي با سنگ مخزن,,شركت ملي مناطق نفت‌خيز جنوب,"علوم پایه, فنی و مهندسی, مهندسی صنایع",,ایران,خوزستان,اهواز,https://nan.ac/ViewNeed/8FAAF46CE71ACC0117F0E05AC8F1688B
7,پوشش نچسب با گرید مواد غذایی,نیاز به پوشش نچسب (تفلون) با گرید مواد غذایی که تولید داخل باشد و کیفیت بالا داشته باشد,آریا ظرف شایسته,,['پوشش، مواد غذایی'],ایران,مرکزی,اراک,https://nan.ac/ViewNeed/3A4E90DD596BD07D053B3175A26133A3
8,کمرنگ بودن فعالیت‌ پشتیبان به نسبت فعالیت‌ مستقل، با توجه به اهمیت نقش پشتیبان درپایداری مشاغل خانگی,کمرنگ بودن فعالیت‌های پشتیبان به نسبت فعالیت‌های مستقل، با توجه به اهمیت نقش فعالیت‌های پشتیبان در پایداری مشاغل خانگی,پارك علم وفناوري استان سمنان,هنر,['مشاغل خانگی، نقل مشاغل، نقش مشاغل خانگی، فعالیت پشتیبان'],ایران,سمنان,سمنان,https://nan.ac/ViewNeed/E9ED02FAFAE63C3BF149EE08866AA9C8
9,فرآوری موادغذایی ارزشمند موجود در تفاله خرمای حاصل از فرآیند شیره گیری و خشک کردن تفاله جهت نگهداری طولانی مدت,تفاله خروجی از خط شیره حاوی رطوبت و مواد مغذی است.باتوجه به عدم امکان نگهداری به علت وجودرطوبت امکان بازاریابی و فروش به نحو مطلوب وجودندارد. از طرفی وجود مواد مغذی امکان بهره برداری با ارزش افزوده بیشتر از خوراک دام را فراهم کرده که دانش فنی فرآیند فرآوری تفاله خرما وجودندارد که نیازمند است به فناوری خشک کردن تفاله تا حدی که میزان رطوبت به سمت صفر میل کند وخواص تفاله حفظ شود,سنجش دانش صنعت جنوب,"فنی و مهندسی, کشاورزی و منابع طبیعی",['مواد غذایی،خرما،تکنولوژی'],ایران,هرمزگان,بندرعباس,https://nan.ac/ViewNeed/C997237330947B58878A2C532C4F53DA
10,تکسون,تکسون در سراجی و کفاشی ها استفاده می شود و جنس محکم و فشرده ای دارد و در ساخت کفش و کیف استفاده میشود. تکسون جنس خشک و محکمی دارد. بعنوان مثال تکسون برای کفی کفش استفاده می شود و رویه چرم کفش برای کار کشی ابتدا به تکسون متصل شده و نهایتا به زیره وصل می شود. مشکلی کارخانه های کفش چرم با آن روبرو هستند کیفیت پایین تکسون های ایرانی است. بگونه ای که بر اثر رطوبت ، طبله میکنند و به مرور دچار پوسیدگی میشوند و به هنگام پوشیدن فتیله (جمع) می شوند.,,"علوم پایه, فنی و مهندسی",,ایران,همدان,,https://nan.ac/ViewNeed/B6FA9ECD7BF2EA563D6AB3401E571DBA
