,Title,Abstract,Owner,field,Key word,country,State,City,Target group
0,,,,,,,,,
1,بررسی ابعاد مختلف تخلفات اداری و فساد دستگاهی در استان چهارمحال و بختیاری با رویکرد سالم سازی محیط اداری,برخی از عوامل فساد اداری ناشی از عوامل فرهنگی و اجتماعی است که با توجه به پراکندگی و تنوع فرهنگی در کشور ضرورت دارد که با شناخت و مطالعه ای عواملی (خرده،فرهنگ، موقعیت جغرافیایی و محیطی،قومی قبیله ای ، اقتصادی و اجتماعی) شناخت دقیق تری نسبت به وجود احتمالی فساد اداری در استان و ریشه‌ای نارضایتی اجتماعی و همچنین راه های مبارزه منطقی و کارآمد با این ناهنجاری اجتماعی است یا جهت کلیه مطالعات و پژوهشها به صورت کلان به مقوله فساد اداری و عوامل آن و همچنین به راه کارهای مقابله با آن پرداخته اند. در اینجا قصد بر این است که به صورت خرد و با توجه به عوامل محیطی،فرهنگی، قومی  و قبیله ای در استان به مطالعه این ناهنجاری پرداخته شود که تاکنون به صورت استانی مورد مطالعه قرار نگرفته است.,اداره کل بازرسی,علوم انسانی,['تخلفات اداری، فساد دستگاهی، سالم سازی محیط اداری'],ایران,چهارمحال وبختیاری,شهرکرد,
2,روش های نوین مبارزه با آفات خطرناک مانند پروانه فری (کرم خراط)، ملخ صحرایی، سرشاخه خوار زیتون و ...,این حشرات به گونه‌های بسیاری از درختان مثمر و غیرمثمر حمله می‌کند. از درختان مثمر سیب میزبان اصلی آن در است ولی خسارت آن روی گلابی، به و گردو نیز دیده شده است. از گیاهان غیرمثمر می‌توان به افرا، بیدمشک، بید، نارون، بوط و زبان گنجشک اشاره نمود. در دنیا 150 میزبان برای آفت ذکر شده است. درخت سیب به این آفت خیلی حساس و زود از پا درمی‌آید در حالی که گردو تا حدودی مقاوم هستند.,پارک علم و فناوری استان مرکزی,کشاورزی و منابع طبیعی,['آفات، بیلوژیکی'],ایران,مرکزی,اراک,
3,تامین مواد اولیه برای تولید فیلتر,یکی از مواد اولیه جهت تولید فیلتر هوای ماشین می‌باشد که از واکنش شیمیایی دو مایع پلی ال و ایزو ایجاد می‌شود. پلی یورتان یک رزین یا چسب پلیمری است که براساس شرایط تولید بی‌رنگ یا شیری رنگ یا نارنجی رنگ می‌ شوند.,کیان پالایش رادمان,فنی و مهندسی,['مواد اولیه، فیلتر'],ایران,مرکزی,اراک,
4,رله با بوبین 24 ولت DC مارک Finder,این نوع رله به صورت فراوان در تابلوهای برق و در خروجی کارت های PLC,گروه ملی صنایع فولاد,,['رله'],,خوزستان,اهواز,گروه/های هدف:
5,تولید کنسرو غذایی فراسودمند و پروبیوتیک,غذاهای فراسودمند آن هایی هستند که مزایای سلامتی را فراتر از نیازهای تغذیه اولیه ارایه می کنند و از طریق مکانیسم هایی که در روش های تغذیه مرسوم به آن توجه نمی شود، سلامتی را ارتقا می دهند. هم چنین لازم به ذکر است که اثرات ارتقاء دهنده سلامت فوق به بهبود سلامت کلی بدن اشاره دارد و نه درمان بیماری ها.,پارک علم و فناوری استان مرکزی,فنی و مهندسی,['کنسرو، پروبیوتیک'],ایران,مرکزی,اراک,
6,بررسی الگوهای مناسب استفاده از فضای مجازی با رویکرد کاهش آسیب‌های روانی، فیزیولوژیکی و اجتماعی,-  بررسی وضعیت سواد رسانه ای مخاطبین,استانداری(طرح اداره کل فرهنگ و ارشاد اسلامی),علوم انسانی,['فضای مجازی، آسیب\u200cهای روانی، آسیب\u200cهای، آسیب\u200cهای فیزیولوژیکی و اجتماعی'],ایران,چهارمحال وبختیاری,شهرکرد,
7,پمپ ترمز و گیربکس های بالابر جرثقیل 60 و 100 تن,کیج کامل ترمزکفشکی باالبر جرثقیلهای 60 و 100 تن) شامل هیدرو,گروه ملی صنایع فولاد,,['پمپ ترمز بالابر، گیربکس بالابر'],,خوزستان,اهواز,گروه/های هدف:
8,شناسایی فرصت های شغلی، سرمایه گذاری و ظرفیت های مناطق حاشیه نشین شهرهای بزرگ گیلان,حاشیه نشینی و اسکان غیررسمی پدیدهای است که به دنبال تحولات ساختاری و بروز مسایل و مشکالت اقتصادی - اجتماعی، مانند جریان سریع شهرنشینی و مهاجرتهای لجام گسیخته در بیشتر کشورهای جهان، به ویژه کشورهای جهان,اداره کل تعاون، کار و رفاه اجتماعی استان گیلان,علوم انسانی,['حاشیه نشینی، اسکان غیررسمی، فرصت های شغلی، گیلان'],ایران,گیلان,رشت,
9,اسنپ پولی,مشخصات:,پارک علم و فناوری خوزستان,فنی و مهندسی,['اسنپ پولی'],ایران,خوزستان,اهواز,
10,مطالعه ظرفیت های جاذبه های گردشگری ورزشی استان تهران در چهارچوب کریدور مشخص و ارایه راهکارهای دسترسی و بهره مندی شهروندان از آن,در طی سال ها ی اخیر سیاست ساخت و توسعه اماکن و مجموعه های تفریحی ورزشی در سطح کشور مورد توجه بیشتری قرار گرفته است به نحوی که در حال حاضر شاهد وجود اماکن ورزشی تخصصی و چندمنظوره در هر شهر می باشیم؛ اما از آنجا که شاخص سرانه امکانات ورزشی در کشور بسیار محدود بوده و پاسخگوی نیازهای اقشار مختلف جامعه نمی باشد، بنابراین مدیران باید تلاش کنند تا با برنامه ریزی و راهبردهای اجرایی، میزان جذب سرمایه گذار و بخش خصوصی در این اماکن ورزشی تفریحی را افزایش داد.,اداره کل ورزش و جوانان استان تهران,علوم پایه,['ظرفیت -جاذیبه -گردشگری -بهره مندی - ورزشی'],ایران,تهران,تهران,
11,پیشگیری ، کنترل و مبارزه با آفات کارادرینا و آگروتیس در چغندرقند,این حشرات به بیش از 40 گیاه زراعی مختلف از جمله چغندر قند،پیاز، هویج، بادام زمینی ، ذرت و ... تعدادی از علف های هرز مانند ماهور، سلمه، خرفه حمله می کند. اما در بین محصولات زراعی گیاهانی نظیر چغند قند و یونجه و ذرت را ترجیح می دهد.,پارک علم و فناوری استان مرکزی,کشاورزی و منابع طبیعی,['آفات، کنترل'],ایران,مرکزی,اراک,
12,طراحی پیچ,طراحی پیچ های جدید برای باتری های سرب- اسیدی مجهز به کاتالیست های بازترکیب پالادیوم - کربن,پارک علم و فناوری استان مرکزی,فنی و مهندسی,['پیچ، طراحی'],ایران,مرکزی,اراک,
13,گردآوری کلیه مطالعات و پژوهش های انجام گرفته در تالاب انزلی و حوزه آبخیز آن در قالب پایگاه داده های اکولوژیک,بی شک رویکرد جهانی در بهره گیری از انواع سیستم های مدیریت پایگاه داده جهت ذخیره سازی ساماندهی و مدیریت داده ها نشان از اهمیت این امر است. در زمینه محیط زیست نیز یک سیستم مدیریت پایگاه داده,استانداری گیلان,فنی و مهندسی,['تالاب انزلی،حوزه آبخیز،محیط زیست، پایگاه داده'],ایران,گیلان,رشت,
